comp_id,comp_type,label,pmax_mw,for_rate,mttr_hr,lam_per_hr,mu_per_hr,hf
GEN_23672_1,generator,Bus23672_Gen1,314.746,0.001,72.0,1.39e-05,0.01388889,1.0
GEN_23682_1,generator,Bus23682_Gen1,1251.946,0.03,72.0,0.000429553264604811,0.013888888888888888,1.0
GEN_23694_1,generator,Bus23694_Gen1,63.219,0.001,48.0,2.085e-05,0.02083333,1.0
GEN_23702_1,generator,Bus23702_Gen1,906.472,0.001,120.0,8.34e-06,0.00833333,1.0
GEN_23722_1,generator,Bus23722_Gen1,149.068,0.093874,295.0,0.00035119,0.00338983,1.0
GEN_23732_1,generator,Bus23732_Gen1,48.879,0.001,48.0,2.085e-05,0.02083333,1.0
GEN_23762_1,generator,Bus23762_Gen1,82.928,0.001,1.37,0.00073244,0.73170732,1.0
GEN_23792_1,generator,Bus23792_Gen1,238.039,0.001,72.0,1.39e-05,0.01388889,1.0
GEN_23812_1,generator,Bus23812_Gen1,28.749,0.006565,49.38,0.00013381,0.02024975,1.0
GEN_23882_1,generator,Bus23882_Gen1,25.907,0.006565,49.38,0.00013381,0.02024975,1.0
GEN_23892_1,generator,Bus23892_Gen1,79.664,0.001,1.37,0.00073244,0.73170732,1.0
GEN_23922_1,generator,Bus23922_Gen1,81.562,0.001,1.37,0.00073244,0.73170732,1.0
GEN_23932_1,generator,Bus23932_Gen1,254.995,0.001,72.0,1.39e-05,0.01388889,1.0
GEN_23942_1,generator,Bus23942_Gen1,17.947,0.03,72.0,0.000429553264604811,0.013888888888888888,1.0
GEN_23952_1,generator,Bus23952_Gen1,95.377,0.001,1.37,0.00073244,0.73170732,1.0
GEN_23972_1,generator,Bus23972_Gen1,41.383,0.03,72.0,0.000429553264604811,0.013888888888888888,1.0
GEN_24002_1,generator,Bus24002_Gen1,2.91,0.001,48.0,2.085e-05,0.02083333,1.0
GEN_24012_1,generator,Bus24012_Gen1,81.798,0.001,1.37,0.00073244,0.73170732,1.0
GEN_24026_1,generator,Bus24026_Gen1,12.907,0.001,48.0,2.085e-05,0.02083333,1.0
GEN_24028_1,generator,Bus24028_Gen1,7.163,0.001,48.0,2.085e-05,0.02083333,1.0
GEN_24030_1,generator,Bus24030_Gen1,12.959,0.001,48.0,2.085e-05,0.02083333,1.0
GEN_24048_1,generator,Bus24048_Gen1,24.19,0.03,72.0,0.000429553264604811,0.013888888888888888,1.0
GEN_24108_1,generator,Bus24108_Gen1,1.237,0.001,48.0,2.085e-05,0.02083333,1.0
GEN_24110_1,generator,Bus24110_Gen1,4.754,0.001,48.0,2.085e-05,0.02083333,1.0
GEN_24112_1,generator,Bus24112_Gen1,1.908,0.001,48.0,2.085e-05,0.02083333,1.0
GEN_24114_1,generator,Bus24114_Gen1,1.918,0.001,48.0,2.085e-05,0.02083333,1.0
