comp_type,comp_name,disaster,disaster_en,voltage_code,district,n_events,outage_hours,base_lambda,storm_lambda,hazard_factor
line,枋山～恆春線,小犬,Typhoon Koinu,L,高屏供電區處,2,0.05,0.1,7.8e-05,1.0008
line,核三～大鵬三路,小犬,Typhoon Koinu,L,高屏供電區處,1,0.02,0.1,2.6e-05,1.0003
line,核三～大鵬二路,小犬,Typhoon Koinu,L,高屏供電區處,3,1.68,0.1,0.00263,1.0263
line,核三～楓港線,小犬,Typhoon Koinu,L,高屏供電區處,2,7.0,0.1,0.010938,1.1094
line,核三～瀰力線,小犬,Typhoon Koinu,L,高屏供電區處,1,0.02,0.1,2.6e-05,1.0003
line,楓港~九鵬、楓公線,小犬,Typhoon Koinu,L,高屏供電區處,1,11.6,0.1,0.018125,1.1812
line,楓港～墾丁線,小犬,Typhoon Koinu,L,高屏供電區處,1,0.83,0.1,0.001302,1.013
line,楓港～枋山線,小犬,Typhoon Koinu,L,高屏供電區處,1,0.07,0.1,0.000104,1.001
line,萬大～鉅工線,小犬,Typhoon Koinu,L,台中供電區處,1,0.13,0.1,0.000208,1.0021
line,關連~玻福、玻三線,小犬,Typhoon Koinu,L,台中供電區處,1,0.02,0.1,2.6e-05,1.0003
line,中壢～六機線,康芮,Typhoon Kong-rey,L,新桃供電區處,1,11.0,0.1,0.091667,1.9167
line,仙渡~頂湖二路,康芮,Typhoon Kong-rey,L,台北供電區處,1,1.48,0.1,0.012361,1.1236
line,仙渡~頂湖二路,康芮,Typhoon Kong-rey,L,新桃供電區處,1,1.0,0.1,0.008333,1.0833
line,北投~興仁線,康芮,Typhoon Kong-rey,L,台北供電區處,1,0.02,0.1,0.000139,1.0014
line,南港～深坑、中研線,康芮,Typhoon Kong-rey,L,台北供電區處,1,2.12,0.1,0.017639,1.1764
line,博嘉～木柵線,康芮,Typhoon Kong-rey,L,台北供電區處,1,0.68,0.1,0.005694,1.0569
line,博嘉～深坑、木柵線,康芮,Typhoon Kong-rey,L,台北供電區處,1,0.68,0.1,0.005694,1.0569
line,和平~冬山紅線,康芮,Typhoon Kong-rey,L,台北供電區處,1,0.03,0.1,0.000278,1.0028
line,基隆～暖暖、福祿線,康芮,Typhoon Kong-rey,L,台北供電區處,1,0.02,0.1,0.000139,1.0014
line,大同~四平、士林線,康芮,Typhoon Kong-rey,L,台北供電區處,1,0.0,0.1,0.0,1.0
line,大觀~鳳林線,康芮,Typhoon Kong-rey,L,花東供電區處,5,28.43,0.1,0.236944,3.3694
line,富里～重安線,康芮,Typhoon Kong-rey,L,花東供電區處,6,55.65,0.1,0.46375,5.6375
line,新竹~鐵竹白線,康芮,Typhoon Kong-rey,L,新桃供電區處,1,0.02,0.1,0.000139,1.0014
line,新竹~鐵竹紅線,康芮,Typhoon Kong-rey,L,新桃供電區處,1,0.02,0.1,0.000139,1.0014
line,日南~廣源 中威線,康芮,Typhoon Kong-rey,L,新桃供電區處,1,0.02,0.1,0.000139,1.0014
line,明潭～鳳林線,康芮,Typhoon Kong-rey,L,花東供電區處,6,31.13,0.1,0.259444,3.5944
line,松林～埔里線,康芮,Typhoon Kong-rey,L,台中供電區處,1,4.47,0.1,0.037222,1.3722
line,板橋~中和、安康、德儀紅線,康芮,Typhoon Kong-rey,L,台北供電區處,2,0.28,0.1,0.002361,1.0236
line,板橋~土城、耀華、同峽、介壽線,康芮,Typhoon Kong-rey,L,台北供電區處,2,10.85,0.1,0.090417,1.9042
line,板橋~土城線,康芮,Typhoon Kong-rey,L,台北供電區處,1,0.02,0.1,0.000139,1.0014
line,核一～汐止白線,康芮,Typhoon Kong-rey,L,台北供電區處,1,0.08,0.1,0.000694,1.0069
line,核二～汐止四路,康芮,Typhoon Kong-rey,L,台北供電區處,1,1.08,0.1,0.009028,1.0903
line,汐止～板橋白線,康芮,Typhoon Kong-rey,L,台北供電區處,1,2.13,0.1,0.017778,1.1778
