bus_i,name,base_kv,ide,area,zone,vm,va
22003,峨眉光D,23.9,2,2,104,0.99484,-25.2382
22032,竹工光D1,23.9,2,1,102,0.99943,-25.5133
22042,竹工光D2,23.9,2,1,102,1.00147,-24.7074
22133,后里東光D,23.9,2,2,104,0.99601,-21.4986
22143,后里西光D,23.9,2,2,104,1.00482,-22.248
22162,中港光L,69.0,2,2,104,1.00924,-25.3458
22173,中科光D1,23.9,2,2,104,0.99514,-22.4229
22183,中科光D2,23.9,2,2,104,0.9992,-22.0896
22202,霧峰光L,69.0,2,2,104,1.00079,-20.3816
22303,彰濱光D,23.9,2,2,104,1.0029,-0.6218
22322,彰林光L1,69.0,2,2,104,1.00373,-9.9849
22332,彰林光L2,69.0,2,2,104,1.00373,-9.9849
22353,全興光D,23.9,2,2,104,0.9956,-5.6037
22402,南投光L,69.0,2,2,104,1.00349,-12.1392
22603,南科東光D,23.9,2,3,103,0.99867,-13.9895
22613,南科西光D,23.9,2,3,103,1.00252,-15.4706
22672,路北光L,69.0,2,3,103,1.01238,-11.4365
22753,仁武光D1,23.9,2,3,103,0.99765,-17.5806
22763,仁武光D2,23.9,2,3,103,1.00809,-17.461
22802,高雄光L1,69.0,2,3,103,1.00357,-18.8363
22812,高雄光L2,69.0,2,3,103,1.00357,-18.8363
22853,五甲光D1,23.9,2,3,103,0.9978,-11.3682
22862,五甲光L2,69.0,2,3,103,1.00247,-12.4237
22902,高港甲光L,69.0,2,3,103,1.00516,-13.5352
22923,高港丙光D,23.9,2,3,103,1.00011,-18.5206
22932,瀰力光L1,69.0,2,3,103,1.00588,-10.647
22952,大鵬光L1,69.0,2,3,103,1.00378,-8.6102
23002,鳳林光L,69.0,2,4,110,0.99854,-9.6477
23102,羅東光L,69.0,2,1,102,0.99629,-35.0994
23122,松山光L,69.0,2,1,102,1.00202,-40.7379
23132,南港光L,69.0,2,1,102,0.99769,-39.6774
23142,八堵光L,69.0,2,1,102,0.99996,-42.734
23162,陽明光L,69.0,2,1,102,0.99914,-41.4585
23182,板橋光L,69.0,2,1,102,1.00071,-39.6346
23222,台北光L,69.0,2,1,102,0.99421,-38.2267
23232,大同光L,69.0,2,1,102,0.99895,-39.4342
23242,蘆洲光L,69.0,2,1,102,1.0064,-38.8538
23282,東林光L,69.0,2,1,102,1.00267,-35.7437
23292,蘆竹光L,69.0,2,1,102,0.99591,-33.8856
23302,樹德光L,69.0,2,1,102,0.99645,-39.4162
23322,中壢光L,69.0,2,1,102,0.9972,-37.2292
23342,觀音光#1L,69.0,2,1,102,0.99499,-29.0128
23352,觀音光#2L,69.0,2,1,102,0.99499,-29.0128
23362,松樹光#1L,69.0,2,1,102,1.00519,-37.0599
23364,松樹光#2L,69.0,2,1,102,1.00519,-37.0599
23372,梅湖光#1L,69.0,2,1,102,0.99666,-29.6567
23374,梅湖光#2L,69.0,2,1,102,0.99052,-30.2339
23392,新竹光#1L,69.0,2,1,102,0.998,-28.1361
23394,新竹光#2L,69.0,2,1,102,0.99724,-31.5454
23412,苗栗光L,69.0,2,2,104,0.99956,-22.7979
23422,南湖光L,69.0,2,2,104,0.99699,-25.6514
23442,龍秀光L,69.0,2,2,104,1.00566,-32.2729
23452,翁子光L,69.0,2,2,104,0.99484,-21.9137
23462,銅中光L,69.0,2,2,104,0.99949,-20.5259
23472,頭份光L,69.0,2,2,104,0.99708,-25.7615
