from_bus,to_bus,mid_bus,ckt,name,status,hv_bus,mv_bus,lv_bus,vn_hv_kv,vn_mv_kv,vn_lv_kv,sn_hv_mva,sn_mv_mva,sn_lv_mva,shift_hv_deg,shift_mv_deg,shift_lv_deg,r_hv_pu,x_hv_pu,r_mv_pu,x_mv_pu,r_lv_pu,x_lv_pu,vk_hv_pct,vkr_hv_pct,vk_mv_pct,vkr_mv_pct,vk_lv_pct,vkr_lv_pct,r12_pu,x12_pu,sbase12_mva,r23_pu,x23_pu,sbase23_mva,r31_pu,x31_pu,sbase31_mva,vmstar,anstar
530,511,518,3,中火北 E.T2                             ,1,530,511,518,345.0,161.0,33.0,500.0,500.0,90.0,0.0,0.0,0.0,1.5999999999999982e-05,0.005943999999999998,5.000000000000002e-05,-0.001165999999999997,0.00043799999999999997,0.030296000000000003,2.971999999999999,0.007999999999999991,1.0,0.025000000000000012,2.72664,0.03942,0.00033,0.02389,500.0,0.00244,0.14565,500.0,0.00227,0.1812,500.0,1.00776,-15.0444
530,511,517,2,中火北 E.T3                             ,1,530,511,517,345.0,161.0,33.0,500.0,500.0,90.0,0.0,0.0,0.0,3.600000000000001e-05,0.005903000000000002,3.600000000000001e-05,-0.0008769999999999993,0.0004980000000000001,0.030316999999999997,2.951500000000001,0.018000000000000002,1.0,0.018000000000000002,2.7285299999999997,0.044820000000000006,0.00036,0.02513,500.0,0.00267,0.1472,500.0,0.00267,0.1811,500.0,1.00732,-15.0131
600,652,656,1,通霄甲 M.T1                             ,1,600,652,656,161.0,69.0,11.0,200.0,200.0,66.0,0.0,0.0,0.0,0.0004100000000000001,0.030437499999999996,0.00023000000000000006,-0.0025874999999999926,0.00117,0.050012499999999994,6.0874999999999995,0.08200000000000002,1.0,0.04600000000000001,3.3008249999999997,0.07722,0.00128,0.0557,200.0,0.0028,0.09485,200.0,0.00316,0.1609,200.0,1.00648,-20.2744
601,652,657,2,通霄甲 M.T2                             ,1,601,652,657,161.0,69.0,11.0,200.0,200.0,66.0,0.0,0.0,0.0,0.00047499999999999994,0.032035,0.00030000000000000003,-0.0018950000000000009,0.001125,0.05032500000000001,6.407,0.09499999999999999,1.0,0.060000000000000005,3.3214500000000005,0.07425,0.00155,0.06028,200.0,0.00285,0.09686,200.0,0.0032,0.16472,200.0,1.00655,-20.2266
610,697,698,1,通霄甲 M.T9                             ,1,610,697,698,161.0,13.8,13.8,250.0,125.0,125.0,0.0,0.0,0.0,0.0,3.999999999999837e-05,0.001472,0.086484,0.0013440000000000001,0.086004,1.0,0.0,10.810500000000001,0.184,10.750499999999999,0.168,0.00368,0.21631,250.0,0.00704,0.43122,250.0,0.00336,0.21511,250.0,1.00824,-18.5363
620,617,618,1,通霄丙 T4-23                            ,0,620,617,618,161.0,13.8,13.8,1.0,1.0,1.0,0.0,0.0,0.0,2.168404344971009e-19,-2.5000000000004186e-05,0.00151,0.059675,0.0014849999999999998,0.058625,1.0,2.168404344971009e-19,1.0,0.00151,1.0,0.0014849999999999998,0.00302,0.1193,200.0,0.00599,0.2366,200.0,0.00297,0.1172,200.0,1.0,0.0
628,622,623,1,通霄丙 T5-23                            ,0,628,622,623,161.0,13.8,13.8,1.0,1.0,1.0,0.0,0.0,0.0,-2.2500000000000167e-05,-0.0010000000000000078,0.0014925000000000001,0.05975000000000001,0.0014824999999999999,0.059300000000000005,1.0,2.2500000000000167e-05,1.0,0.0014925000000000001,1.0,0.0014824999999999999,0.00294,0.1175,200.0,0.00595,0.2381,200.0,0.00292,0.1166,200.0,1.0,0.0
650,600,662,1,通霄 T.T1                               ,1,650,600,662,345.0,161.0,33.0,500.0,500.0,90.0,0.0,0.0,0.0,9.400000000000001e-05,0.007532000000000002,1.99999999999994e-06,-0.0010640000000000024,0.000514,0.027549999999999998,3.766000000000001,0.04700000000000001,1.0,0.00099999999999997,2.4795,0.04626,0.00048,0.03234,500.0,0.00258,0.13243,500.0,0.00304,0.17541,500.0,1.01018,-19.2382
650,628,663,2,通霄 T.T2                               ,1,650,628,663,345.0,161.0,33.0,500.0,500.0,90.0,0.0,0.0,0.0,0.0001020000000000001,0.007585999999999999,-1.0000000000000026e-05,-0.0010819999999999962,0.00049,0.027497999999999998,3.7929999999999997,0.051000000000000045,1.0,0.005000000000000013,2.47482,0.0441,0.00046,0.03252,500.0,0.0024,0.13208,500.0,0.00296,0.17542,500.0,1.01501,-19.5692
650,601,664,3,通霄 T.T3                               ,1,650,601,664,345.0,161.0,33.0,500.0,500.0,90.0,0.0,0.0,0.0,0.0001020000000000001,0.0075840000000000005,-1.0000000000000026e-05,-0.0010799999999999976,0.00049,0.027499999999999997,3.7920000000000003,0.051000000000000045,1.0,0.005000000000000013,2.4749999999999996,0.0441,0.00046,0.03252,500.0,0.0024,0.1321,500.0,0.00296,0.17542,500.0,1.01005,-19.2461
