bus_i,id,status,pl_mw,ql_mvar
8544,1,1,121.918,34.925
8545,1,1,88.972,22.327
8549,1,1,46.35,-6.92
8551,1,1,45.109,10.056
8552,1,1,14.18,2.926
8553,1,1,52.342,8.628
8554,1,1,127.603,-11.166
8555,1,1,66.117,1.642
8556,1,1,36.87,12.702
8557,1,1,96.743,0.803
8558,1,1,14.18,2.926
8559,1,1,36.87,12.702
8560,1,1,19.517,-19.938
8561,1,1,9.087,2.797
8562,1,1,66.117,1.642
8567,1,1,96.743,0.803
8569,1,1,19.517,-19.938
8570,1,1,0.33,8.768
8572,1,1,21.643,6.062
8573,1,1,21.643,6.062
8575,1,1,52.342,8.628
8576,1,1,123.339,-22.997
8577,1,1,92.27,8.091
8578,1,1,99.494,13.41
8580,1,1,1.828,-12.234
8582,1,1,127.603,-11.166
8583,1,1,127.603,-11.166
8601,1,1,9.582,2.714
8614,1,1,0.4,5.825
8615,1,1,0.0,0.0
8616,1,1,117.6,23.88
8617,1,1,117.6,23.88
8618,1,1,37.154,17.188
8619,1,1,56.0,11.371
8621,1,1,8.47,-6.14
8622,1,1,17.479,5.345
8623,1,1,60.266,16.316
8624,1,1,5.287,1.343
8640,1,1,5.679,-3.339
8704,1,1,2.727,15.289
8708,1,1,2.727,15.289
8713,1,1,8.386,18.63
8717,1,1,5.555,13.797
8718,1,1,5.555,13.797
8719,1,1,5.555,13.797
8720,1,1,14.122,20.714
8729,1,1,9.528,-11.57
8730,1,1,9.528,-11.57
8770,1,1,25.9,5.259
8905,1,1,1.905,7.139
8906,1,1,1.465,0.371
9906,1,1,65.943,-2.711
9910,1,1,62.108,-21.929
9922,1,1,49.272,-32.941
9925,1,1,49.272,-32.941
9932,1,1,62.108,-21.929
9936,1,1,62.108,-21.929
