from_bus,to_bus,k_bus,ckt,name,status,r12_pu,x12_pu,sbase12_mva,windv1,nomv1,ang1_deg,rata1_mva,ratb1_mva,ratc1_mva,windv2,nomv2
1020,1007,0,1,核三GT.T1                               ,1,0.0058,0.2048,64.0,1.0,161.0,0.0,64.0,64.0,0.0,1.0,13.8
1020,1008,0,1,核三GT.T2                               ,1,0.0058,0.2045,64.0,1.0,161.0,0.0,64.0,64.0,0.0,1.0,13.8
1030,1033,0,3,尖山G.T3                                ,1,0.0,0.098,10.0,1.0,69.0,0.0,12.5,12.5,0.0,0.9565,13.8
1030,1034,0,4,尖山G.T4                                ,1,0.0,0.0984,10.0,1.0,69.0,0.0,12.5,12.5,0.0,0.9565,13.8
1030,1035,0,5,尖山G.T5                                ,1,0.0,0.0982,10.0,1.0,69.0,0.0,12.5,12.5,0.0,0.9565,13.8
1030,1036,0,6,尖山G.T6                                ,1,0.0,0.0982,10.0,1.0,69.0,0.0,12.5,12.5,0.0,0.9565,13.8
1030,1037,0,7,尖山G.T7                                ,1,0.0,0.098,10.0,1.0,69.0,0.0,12.5,12.5,0.0,0.9565,13.8
1030,1038,0,8,尖山G.T8                                ,1,0.0,0.0975,10.0,1.0,69.0,0.0,12.5,12.5,0.0,0.9565,13.8
1030,1039,0,9,尖山G.T9                                ,1,0.0,0.0982,10.0,1.0,69.0,0.0,12.5,12.5,0.0,0.9565,13.8
1030,1040,0,10,尖山G.T10                               ,1,0.0,0.0987,10.0,1.0,69.0,0.0,12.5,12.5,0.0,0.9565,13.8
1030,1041,0,11,尖山G.T11                               ,1,0.0,0.099,10.0,1.0,69.0,0.0,12.5,12.5,0.0,0.9565,13.8
1030,1042,0,12,尖山G.T12                               ,1,0.0,0.0982,10.0,1.0,69.0,0.0,12.5,12.5,0.0,0.9565,13.8
1043,1031,0,1,尖山G.T1                                ,1,0.0,0.098,10.0,1.0,69.0,0.0,12.5,12.5,0.0,0.9565,13.8
1043,1032,0,2,尖山G.T2                                ,1,0.0,0.0979,10.0,1.0,69.0,0.0,12.5,12.5,0.0,0.9565,13.8
1050,1060,0,1,興達新GT.T11                            ,1,0.000474074,0.0422204,540.0,0.975,345.0,0.0,540.0,540.0,0.0,0.975,26.0
1050,1061,0,1,興達新GT.T12                            ,1,0.000472222,0.0421463,540.0,0.975,345.0,0.0,540.0,540.0,0.0,0.975,26.0
1050,1062,0,1,興達新ST.T1                             ,1,0.0005,0.0421,540.0,0.975,345.0,0.0,540.0,0.0,0.0,0.975,26.0
1050,1063,0,1,興達新GT.T21                            ,1,0.0005,0.0421,540.0,0.975,345.0,0.0,540.0,0.0,0.0,0.975,26.0
1050,1064,0,1,興達新GT.T22                            ,1,0.0005,0.0421,540.0,0.975,345.0,0.0,540.0,540.0,0.0,0.975,26.0
1050,1065,0,1,興達新ST.T2                             ,1,0.0005,0.0422,540.0,0.975,345.0,0.0,540.0,0.0,0.0,0.975,26.0
1050,1066,0,1,興達新GT.T31                            ,1,0.000628,0.042593,540.0,1.0,345.0,0.0,540.0,0.0,0.0,0.975,26.0
1050,1067,0,2,興達新GT.T32                            ,1,0.000628,0.042593,540.0,1.0,345.0,0.0,540.0,0.0,0.0,0.975,26.0
1051,1068,0,1,興達新ST.T3                             ,1,0.000628,0.042593,540.0,1.0,161.0,0.0,540.0,0.0,0.0,0.975,26.0
1090,1079,0,1,興達ST.T1                               ,1,0.00136,0.05954,250.0,1.0,345.0,0.0,250.0,250.0,0.0,0.95,16.0
1080,1081,0,1,興達北M.T1                              ,0,0.0003,0.0238,570.0,1.0,345.0,0.0,570.0,570.0,0.0,0.95,18.0
1080,1082,0,1,興達北M.T2                              ,0,0.0003,0.0239,570.0,1.0,345.0,0.0,570.0,570.0,0.0,0.95,18.0
1080,1083,0,1,興達北M.T3                              ,1,0.0002,0.0238,640.0,1.0,345.0,0.0,640.0,0.0,0.0,0.95,22.0
1080,1084,0,1,興達北M.T4                              ,1,0.0002,0.0238,640.0,1.0,345.0,0.0,640.0,640.0,0.0,0.95,22.0
1080,1085,0,1,興達北S.T2                              ,1,0.00511302,0.235463,30.0,1.0,345.0,0.0,60.0,0.0,0.0,1.0,4.16
1090,1089,0,1,興達ST.T2                               ,1,0.00132,0.05999,250.0,1.0,345.0,0.0,250.0,250.0,0.0,0.95,16.0
1090,1093,0,1,興達南ST.T3                             ,1,0.00136,0.05994,250.0,1.0,345.0,0.0,250.0,250.0,0.0,0.95,16.0
