bus_i,gen_id,pg_mw,qg_mvar,qt_mvar,qb_mvar,vs_pu,mbase_mva,status,pmax_mw,pmin_mw
1041,11,4.45,1.767,6.83,-2.5,0.97,12.98,1,9.87,0.0
1042,12,4.45,1.779,6.83,-2.5,0.97,12.98,1,9.87,0.0
1060,1,366.67,-17.183,282.88,-167.678,0.99,537.0,1,456.5,0.0
1061,2,366.67,-17.293,282.88,-167.678,0.99,537.0,1,456.5,0.0
1062,S,366.67,-17.612,282.88,-167.678,0.99,537.0,1,456.5,0.0
1063,1,366.67,-17.612,282.802,-150.044,0.99,537.0,1,456.5,0.0
1064,2,366.67,-17.612,282.88,-167.678,0.99,537.0,1,456.5,0.0
1065,S,366.67,6.761,282.88,-167.678,1.0,537.0,1,456.5,0.0
1066,1,0.0,54.575,282.8,-170.0,1.0,537.0,0,456.5,0.0
1067,2,0.0,54.575,282.88,-170.0,1.0,537.0,0,456.5,-9999.0
1077,1,50.95,29.023,45.0,-28.8,0.99,106.0,1,92.8,64.96
1078,2,50.95,10.793,45.0,-28.8,0.99,106.0,1,92.8,64.96
1078,3,50.95,10.793,45.0,-28.8,0.99,106.0,1,92.8,64.96
1079,S,87.14,44.793,71.0,-54.0,0.99,224.5,1,158.7,111.09
1081,1,0.0,56.288,290.0,-30.0,0.99,590.0,0,472.9,380.0
1082,2,0.0,56.249,290.0,-30.0,0.99,590.0,0,472.9,380.0
1083,3,0.0,21.521,320.0,-20.0,0.99,666.75,0,537.1,300.0
1084,4,0.0,21.521,320.0,-20.0,0.99,666.75,0,537.1,300.0
1087,1,50.95,28.93,45.0,-28.8,0.99,106.0,1,92.8,64.96
1088,2,50.95,10.204,45.0,-28.8,0.99,106.0,1,92.8,64.96
1088,3,50.95,10.204,45.0,-28.8,0.99,106.0,1,92.8,64.96
1089,S,87.14,44.549,71.0,-54.0,0.99,224.5,1,158.7,111.09
1091,1,50.95,31.083,45.0,-28.8,0.99,106.0,1,92.8,64.96
1092,2,50.95,11.236,45.0,-28.8,0.99,106.0,1,92.8,64.96
1092,3,50.95,11.236,45.0,-28.8,0.99,106.0,1,92.8,64.96
1093,S,87.14,44.523,71.0,-54.0,0.99,224.5,1,158.7,111.09
1094,1,50.95,27.982,45.0,-28.8,0.99,106.0,1,92.8,64.96
1095,2,50.95,10.149,45.0,-28.8,0.99,106.0,1,92.8,64.96
1095,3,50.95,10.149,45.0,-28.8,0.99,106.0,1,92.8,64.96
1096,S,87.14,45.003,71.0,-54.0,0.99,224.5,1,158.7,111.09
1097,1,50.95,28.7,45.0,-28.8,0.99,106.0,1,92.8,64.96
1098,2,50.95,9.978,45.0,-28.8,0.99,106.0,1,92.8,64.96
1098,3,50.95,9.978,45.0,-28.8,0.99,106.0,1,92.8,64.96
1099,S,87.14,45.003,71.0,-54.0,0.99,224.5,1,158.7,111.09
1101,1,750.491,-58.793,553.1,-255.82,0.95,1050.0,1,752.0,600.0
1102,2,752.0,-57.695,553.1,-255.82,0.95,1050.0,1,752.0,600.0
1105,5,0.0,65.925,290.0,-30.0,0.95,590.0,0,483.0,200.0
1106,6,280.0,-30.0,320.0,-30.0,0.95,679.24,1,536.0,230.0
1201,1,53.85,2.728,65.0,-37.0,0.97,125.0,1,94.2,65.94
1202,2,53.85,2.763,65.0,-37.0,0.97,125.0,1,94.2,65.94
1203,S,62.31,3.377,71.0,-38.0,0.97,135.0,1,109.0,76.3
1204,1,53.85,2.765,65.0,-37.0,0.97,125.0,1,94.2,65.94
1205,2,53.85,2.764,65.0,-37.0,0.97,125.0,1,94.2,65.94
1206,S,62.31,3.377,71.0,-38.0,0.97,135.0,1,109.0,76.3
1211,1,53.86,9.246,65.0,-37.0,0.97,125.0,1,86.5,60.55
1212,2,53.86,9.443,65.0,-37.0,0.97,125.0,1,86.5,60.55
1213,S,62.27,12.559,71.0,-38.0,0.97,135.0,1,100.0,70.0
1214,1,248.0,45.452,156.4,-21.0,0.97,297.0,1,248.0,173.6
1401,G,0.0,-3.014,47.0,-19.0,0.95,108.0,0,97.2,0.0
1752,1,0.0,0.0,0.0,0.0,1.0,100.0,0,0.0,0.0
2162,1,0.0,0.0,0.0,0.0,1.0,100.0,0,0.0,0.0
2202,1,0.0,0.0,0.0,0.0,1.0,100.0,0,0.0,0.0
2322,1,0.0,0.0,0.0,0.0,1.0,100.0,0,0.0,0.0
2332,1,0.0,0.0,0.0,0.0,1.0,100.0,0,0.0,0.0
2402,1,0.0,0.0,0.0,0.0,1.0,100.0,0,0.0,0.0
2672,1,0.0,0.0,0.0,0.0,1.0,100.0,0,0.0,0.0
2802,1,0.0,0.0,0.0,0.0,1.0,100.0,0,0.0,0.0
2812,1,0.0,0.0,0.0,0.0,1.0,100.0,0,0.0,0.0
2862,1,0.0,0.0,0.0,0.0,1.0,100.0,0,0.0,0.0
2902,1,0.0,0.0,0.0,0.0,1.0,100.0,0,0.0,0.0
2932,1,0.0,0.0,0.0,0.0,1.0,100.0,0,0.0,0.0
2952,1,0.0,0.0,0.0,0.0,1.0,100.0,0,0.0,0.0
3002,1,0.0,0.0,0.0,0.0,1.0,100.0,0,0.0,0.0
3102,1,0.0,0.0,0.0,0.0,1.0,100.0,0,0.0,0.0
3122,1,0.0,0.0,0.0,0.0,1.0,100.0,0,0.0,0.0
3132,1,0.0,0.0,0.0,0.0,1.0,100.0,0,0.0,0.0
3142,1,0.0,0.0,0.0,0.0,1.0,100.0,0,0.0,0.0
3162,1,0.0,0.0,0.0,0.0,1.0,100.0,0,0.0,0.0
3182,1,0.0,0.0,0.0,0.0,1.0,100.0,0,0.0,0.0
3222,1,0.0,0.0,0.0,0.0,1.0,100.0,0,0.0,0.0
3232,1,0.0,0.0,0.0,0.0,1.0,100.0,0,0.0,0.0
3242,1,0.0,0.0,0.0,0.0,1.0,100.0,0,0.0,0.0
3282,1,0.0,0.0,0.0,0.0,1.0,100.0,0,0.0,0.0
3292,1,0.0,0.0,0.0,0.0,1.0,100.0,0,0.0,0.0
3302,1,0.0,0.0,0.0,0.0,1.0,100.0,0,0.0,0.0
3322,1,0.0,0.0,0.0,0.0,1.0,100.0,0,0.0,0.0
3342,1,0.0,0.0,0.0,0.0,1.0,100.0,0,0.0,0.0
3352,1,0.0,0.0,0.0,0.0,1.0,100.0,0,0.0,0.0
3362,1,0.0,0.0,0.0,0.0,1.0,100.0,0,0.0,0.0
3364,1,0.0,0.0,0.0,0.0,1.0,100.0,0,0.0,0.0
3372,1,0.0,0.0,0.0,0.0,1.0,100.0,0,0.0,0.0
3374,1,0.0,0.0,0.0,0.0,1.0,100.0,0,0.0,0.0
3392,1,0.0,0.0,0.0,0.0,1.0,100.0,0,0.0,0.0
3394,1,0.0,0.0,0.0,0.0,1.0,100.0,0,0.0,0.0
3412,1,0.0,0.0,0.0,0.0,1.0,100.0,0,0.0,0.0
3422,1,0.0,0.0,0.0,0.0,1.0,100.0,0,0.0,0.0
3442,1,0.0,0.0,0.0,0.0,1.0,100.0,0,0.0,0.0
3452,1,0.0,0.0,0.0,0.0,1.0,100.0,0,0.0,0.0
3462,1,0.0,0.0,0.0,0.0,1.0,100.0,0,0.0,0.0
3472,1,0.0,0.0,0.0,0.0,1.0,100.0,0,0.0,0.0
3482,1,0.0,0.0,0.0,0.0,1.0,100.0,0,0.0,0.0
3522,1,0.0,0.0,0.0,0.0,1.0,100.0,0,0.0,0.0
3532,1,0.0,0.0,0.0,0.0,1.0,100.0,0,0.0,0.0
3552,1,0.0,0.0,0.0,0.0,1.0,100.0,0,0.0,0.0
3662,1,0.0,0.0,0.0,0.0,1.0,100.0,0,0.0,0.0
3672,1,0.0,0.0,0.0,0.0,1.0,100.0,0,0.0,0.0
3682,1,0.0,0.0,0.0,0.0,1.0,100.0,0,0.0,0.0
3702,1,0.0,0.0,0.0,0.0,1.0,100.0,0,0.0,0.0
3722,1,0.0,0.0,0.0,0.0,1.0,100.0,0,0.0,0.0
3732,1,0.0,0.0,0.0,0.0,1.0,100.0,0,0.0,0.0
3762,1,0.0,0.0,0.0,0.0,1.0,100.0,0,0.0,0.0
3792,1,0.0,0.0,0.0,0.0,1.0,100.0,0,0.0,0.0
3812,1,0.0,0.0,0.0,0.0,1.0,100.0,0,0.0,0.0
3882,1,0.0,0.0,0.0,0.0,1.0,100.0,0,0.0,0.0
3892,1,0.0,0.0,0.0,0.0,1.0,100.0,0,0.0,0.0
3922,1,0.0,0.0,0.0,0.0,1.0,100.0,0,0.0,0.0
3932,1,0.0,0.0,0.0,0.0,1.0,100.0,0,0.0,0.0
3942,1,0.0,0.0,0.0,0.0,1.0,100.0,0,0.0,0.0
3952,1,0.0,0.0,0.0,0.0,1.0,100.0,0,0.0,0.0
3972,1,0.0,0.0,0.0,0.0,1.0,100.0,0,0.0,0.0
8615,1,0.0,0.0,0.0,0.0,1.0,100.0,0,100.0,0.0
9101,1,140.0,28.35,96.4,-50.8,0.97,183.0,1,140.0,112.0
9102,2,140.0,27.655,96.4,-50.8,0.97,183.0,1,140.0,112.0
9103,S,161.0,29.016,113.3,-58.4,0.97,215.0,1,161.0,128.8
9104,1,0.0,26.738,96.4,-50.8,0.97,183.0,0,140.0,112.0
9105,2,0.0,26.032,96.4,-50.8,0.97,183.0,0,140.0,112.0
9106,S,0.0,27.463,113.3,-58.4,0.97,215.0,0,161.0,128.8
9111,1,170.34,22.561,104.83,-62.14,1.0,198.9,1,169.1,120.0
9112,2,151.1,49.601,123.3,-48.243,1.0,234.0,1,150.0,120.0
9113,3,151.1,49.635,123.3,-48.243,1.0,234.0,1,150.0,120.0
9114,S,157.45,63.909,173.8,-50.271,1.0,330.0,1,156.3,125.04
9121,1,598.0,-18.736,216.7,-200.0,1.0,770.6,1,597.6,500.0
9122,1,598.0,-18.114,216.7,-200.0,1.0,770.6,1,597.6,500.0
9161,1,153.35,10.626,96.9,-49.47,1.0,184.0,1,155.0,124.0
9162,1,153.35,10.532,96.9,-49.47,1.0,184.0,1,155.0,124.0
9163,1,158.3,2.463,100.1,-51.06,1.0,190.0,1,160.0,128.0
9231,1,154.0,66.907,110.0,-52.932,1.0,208.0,1,154.0,123.2
9232,2,154.0,66.907,110.0,-52.932,1.0,208.0,1,154.0,123.2
9233,S,172.0,74.957,130.0,-59.136,1.0,230.0,1,172.0,137.6
9241,1,156.82,65.868,99.11,-52.932,1.0,188.15,1,156.5,125.2
9242,2,156.82,65.594,99.11,-52.932,1.0,188.15,1,156.5,125.2
9243,S,183.37,64.611,115.89,-59.136,1.0,220.0,1,183.0,146.4
9301,1,0.0,-113.0,370.0,-113.0,0.95,706.0,0,552.0,450.0
9302,2,0.0,-16.043,370.0,-113.0,0.95,706.0,0,552.0,450.0
9303,3,0.0,86.331,370.0,-113.0,0.95,706.0,0,552.0,500.0
9321,1,150.22,38.107,100.0,-50.292,0.98,196.4,1,150.0,120.0
9322,1,150.22,36.339,100.0,-50.292,0.98,196.4,1,150.0,120.0
9323,1,150.22,36.194,100.0,-50.292,0.98,196.4,1,150.0,120.0
9324,1,236.34,48.488,150.0,-79.125,0.98,300.0,1,236.0,188.8
9331,1,330.32,73.376,230.73,-136.77,0.98,438.0,1,372.3,260.61
9332,1,169.68,36.441,118.53,-70.26,0.98,225.0,1,191.25,133.875
9341,1,156.2,44.12,99.1,-52.932,0.99,188.15,1,156.2,124.96
9342,1,156.2,43.797,99.1,-52.932,0.99,188.15,1,156.2,124.96
9343,1,182.6,41.912,115.9,-59.136,0.99,220.0,1,182.6,146.08
9344,1,156.2,43.495,99.1,-52.932,0.99,188.15,1,156.2,124.96
9345,1,156.2,43.495,99.1,-52.932,0.99,188.15,1,156.2,124.96
9346,1,182.6,41.839,115.9,-59.136,0.99,220.0,1,182.6,146.08
9351,1,368.46,-23.044,228.94,-160.0,0.95,434.6,1,369.4,295.52
9352,1,368.46,-22.155,228.94,-160.0,0.95,434.6,1,369.4,295.52
9353,S,363.08,-23.597,225.57,-160.0,0.95,428.2,1,364.0,291.2
9502,1,49.52,24.775,112.5,0.0,1.0,187.5,1,150.0,0.0
9503,1,0.0,0.0,18.939,0.0,1.0,31.57,0,25.253,0.0
9504,1,49.6,39.602,112.687,0.0,1.0,187.81,1,150.25,0.0
9506,1,10.68,0.0,0.0,0.0,1.0,100.0,1,16.2,0.0
9611,1,0.0,0.0,0.0,0.0,1.0,100.0,0,100.0,0.0
9614,1,62.94,2.931,100.0,0.0,1.0,148.26,1,100.0,0.0
