psse_bus_i,bus_name,base_kv,ide,pp_bus_idx
2863,¤­¥ÒD2,23.9,1,387
2870,°ª´ä¥_E,345.0,1,388
2871,°ª´ä¥_H1,161.0,1,389
2881,°ª´ä¥_H2,161.0,1,390
2900,°ª´äE,345.0,1,391
2901,°ª´ä¥ÒH,161.0,1,392
2902,°ª´ä¥ÒL,69.0,2,393
2911,°ª´ä¤AH,161.0,1,394
2920,·s°ª´äE,345.0,1,395
2921,°ª´ä¤þH,161.0,1,396
2923,°ª´ä¤þD,23.9,1,397
2930,Äj¤OE,345.0,1,398
2931,Äj¤OH1,161.0,1,399
2932,Äj¤OL1,69.0,2,400
2933,Äj¤OD1,23.9,1,401
2941,Äj¤OH2,161.0,1,402
2943,Äj¤OD2,23.9,1,403
2950,¤jÄPE,345.0,1,404
2951,¤jÄPH1,161.0,1,405
2952,¤jÄPL1,69.0,2,406
2953,¤jÄPD1,23.9,1,407
2961,¤jÄPH2,161.0,1,408
3000,»ñªLE,345.0,1,409
3001,»ñªLH,161.0,1,410
3002,»ñªLL,69.0,2,411
3003,»ñªLD,23.9,1,412
3066,¹üªLET3 SW.,161.0,1,413
3068,Ãú®p#1,345.0,1,414
3069,Ãú®p#2,345.0,1,415
3070,Ãú®p#3,345.0,1,416
3071,Ãú®p#4,345.0,1,417
3075,¹Å¥ÁET3 SW.,161.0,1,418
3080,°ª´ä#A,345.0,1,419
3081,°ª´ä#B,345.0,1,420
3101,Ã¹ªFH,161.0,1,421
3102,Ã¹ªFL,69.0,2,422
3121,ªQ¤sH,161.0,1,423
3122,ªQ¤sL,69.0,2,424
3131,«n´äH,161.0,1,425
3132,«n´äL,69.0,2,426
3133,«n´äD,23.9,1,427
3141,¤K°ôH,161.0,1,428
3142,¤K°ôL,69.0,2,429
3143,¤K°ôD,23.9,1,430
3161,¶§©úH,161.0,1,431
3162,¶§©úL,69.0,2,432
3181,ªO¾ôH1,161.0,1,433
3182,ªO¾ôL1,69.0,2,434
3183,ªO¾ôD1,23.9,1,435
3191,ªO¾ôH2,161.0,1,436
3193,ªO¾ôD2,23.9,1,437
3211,¸U¶©H,161.0,1,438
3212,¸U¶©L,69.0,1,439
3213,¸U¶©D,23.9,1,440
3221,¥x¥_H,161.0,1,441
3222,¥x¥_L,69.0,2,442
3223,¥x¥_D,23.9,1,443
3231,¤j¦PH,161.0,1,444
3232,¤j¦PL,69.0,2,445
3241,Äª¬wH,161.0,1,446
3242,Äª¬wL,69.0,2,447
3243,Äª¬wD,23.9,1,448
3281,ªFªLH,161.0,1,449
3282,ªFªLL,69.0,2,450
3283,ªFªLD,23.9,1,451
3291,Äª¦ËH,161.0,1,452
3292,Äª¦ËL,69.0,2,453
3293,Äª¦ËD,23.9,1,454
3301,¾ð¼wH,161.0,1,455
3302,¾ð¼wL,69.0,2,456
3303,¾ð¼wD,23.9,1,457
3321,¤¤ÃcH1,161.0,1,458
3322,¤¤ÃcL1,69.0,2,459
3323,¤¤ÃcD1,23.9,1,460
3331,¤¤ÃcH2,161.0,1,461
3341,Æ[­µH,161.0,1,462
