fuel_type,plant_name,unit_name,pmax_kw,pmax_mw,total_outage_hr,planned_outage_hr,unplanned_outage_hr,n_unplanned_events,service_hr,for_rate,mttr_hr,mu_per_hr,lambda_per_hr
燃油,尖山電廠,#7,11000,11.0,648.15,648.15,0.0,0,8111.85,0.001,48.0,0.02083333,2.085e-05
燃油,尖山電廠,#8,11000,11.0,199.9,199.9,0.0,0,8560.1,0.001,48.0,0.02083333,2.085e-05
燃油,尖山電廠,#9,11000,11.0,1538.17,1538.17,0.0,0,7221.83,0.001,48.0,0.02083333,2.085e-05
燃油,望安電廠,#1,1000,1.0,767.97,767.97,0.0,0,7992.03,0.001,48.0,0.02083333,2.085e-05
燃油,望安電廠,#2,1000,1.0,695.97,695.97,0.0,0,8064.03,0.001,48.0,0.02083333,2.085e-05
燃油,東引電廠,#1,1540,1.54,431.98,431.98,0.0,0,8328.02,0.001,48.0,0.02083333,2.085e-05
燃油,東引電廠,#5,1500,1.5,3493.85,2015.92,1477.93,4,5266.15,0.219145,369.48,0.00270648,0.00075957
燃油,琉球電廠,#4,1500,1.5,8759.8,8759.8,0.0,0,0.2,0.001,48.0,0.02083333,2.085e-05
燃油,綠島電廠,#1,2000,2.0,1775.95,0.0,1775.95,3,6984.05,0.202734,591.98,0.00168924,0.00042955
燃油,綠島電廠,#2,2000,2.0,743.98,743.98,0.0,0,8016.02,0.001,48.0,0.02083333,2.085e-05
燃油,綠島電廠,#3,500,0.5,2879.93,2879.93,0.0,0,5880.07,0.001,48.0,0.02083333,2.085e-05
燃油,綠島電廠,#4,500,0.5,2879.93,2879.93,0.0,0,5880.07,0.001,48.0,0.02083333,2.085e-05
燃油,綠島電廠,#6,1500,1.5,1919.93,1919.93,0.0,0,6840.07,0.001,48.0,0.02083333,2.085e-05
燃油,綠島電廠,#7,1000,1.0,4415.9,2207.95,2207.95,3,4344.1,0.336986,735.98,0.00135873,0.00069059
燃油,綠島電廠,#8,1500,1.5,1463.97,0.0,1463.97,2,7296.03,0.167119,731.98,0.00136615,0.00027412
燃油,綠島電廠,#9,1500,1.5,1199.97,1199.97,0.0,0,7560.03,0.001,48.0,0.02083333,2.085e-05
燃油,莒光電廠,#3,1500,1.5,8039.82,0.0,8039.82,11,720.18,0.5,730.89,0.00136819,0.00136819
燃油,莒光電廠,#4,1500,1.5,8039.82,0.0,8039.82,11,720.18,0.5,730.89,0.00136819,0.00136819
燃油,莒光電廠,#7,1000,1.0,1223.97,1223.97,0.0,0,7536.03,0.001,48.0,0.02083333,2.085e-05
燃油,蘭嶼電廠,#1,1500,1.5,743.98,743.98,0.0,0,8016.02,0.001,48.0,0.02083333,2.085e-05
燃油,蘭嶼電廠,#4,1500,1.5,1199.97,719.98,479.98,1,7560.03,0.059699,479.98,0.00208341,0.00013227
燃油,蘭嶼電廠,#5,1000,1.0,1223.97,0.0,1223.97,2,7536.03,0.139722,611.98,0.00163403,0.00026539
燃油,蘭嶼電廠,#6,1000,1.0,599.98,599.98,0.0,0,8160.02,0.001,48.0,0.02083333,2.085e-05
燃油,虎井電廠,#1,300,0.3,1463.97,1463.97,0.0,0,7296.03,0.001,48.0,0.02083333,2.085e-05
燃油,虎井電廠,#2,300,0.3,1463.97,1463.97,0.0,0,7296.03,0.001,48.0,0.02083333,2.085e-05
燃煤,台中電廠,#1,550000,550.0,8735.8,8735.8,0.0,0,24.2,0.001,120.0,0.00833333,8.34e-06
燃煤,台中電廠,#10,2900000,2900.0,8753.6,8516.22,237.38,1,6.4,0.5,237.38,0.0042126,0.0042126
燃煤,台中電廠,#2,550000,550.0,8687.03,8687.03,0.0,0,72.97,0.001,120.0,0.00833333,8.34e-06
燃煤,台中電廠,#3,550000,550.0,8650.7,8605.97,44.73,3,109.3,0.290413,14.91,0.06706408,0.02744739
燃煤,台中電廠,#4,550000,550.0,8675.07,7571.62,1103.45,2,84.93,0.5,551.72,0.0018125,0.0018125
